run_id,created_at_utc,run_dir,model_freq,model_sev,model_prime,rmse_prime,q99_ratio_pos,status
base_v2_catboost_two_part_tweedie_1.3_smoke_modular_42_classic_none_none,2026-02-27T16:21:22.389177+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_smoke_modular_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_smoke_modular_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_smoke_modular_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_smoke_modular_42_classic_none_none\model_prime.pkl,554.6257822015077,0.0016587540985987,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-27T16:59:21.300028+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-27T17:47:35.440560+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-27T20:49:32.225265+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-27T21:11:37.620141+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-27T21:24:26.886042+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-27T21:59:49.282803+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T01:06:04.468084+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:23:06.889395+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:23:35.360945+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:24:04.252294+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:24:31.147728+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:25:27.550740+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:25:54.492036+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:41:46.261707+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:42:11.365193+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:43:31.901782+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:43:59.237169+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:44:38.343557+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:45:46.113456+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T19:47:44.084219+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T22:39:16.023261+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T22:39:41.158802+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T22:49:50.272421+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,2026-02-28T22:50:16.650020+00:00,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_freq.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_sev.pkl,artifacts\models\base_v2_catboost_two_part_tweedie_1.3_train_smoke_42_classic_none_none\model_prime.pkl,546.145199733486,0.1072852144542497,ready
