iter	RMSE
0	0.5547171005
1	0.5504922568
2	0.5444439477
3	0.542245139
4	0.5360969677
5	0.5300820849
6	0.5271139051
7	0.5258099808
8	0.5195039905
9	0.5155989499
10	0.510699697
11	0.5066820307
12	0.4981558058
13	0.4928897346
14	0.4901722046
15	0.4851481002
16	0.4790575698
17	0.4770727211
18	0.4740659052
19	0.4687233586
20	0.4635445726
21	0.4596306614
22	0.4550240493
23	0.4524348255
24	0.4492941393
25	0.4452765552
26	0.4411524479
27	0.4387741852
28	0.4354770876
29	0.4338914322
30	0.4312815727
31	0.425674783
32	0.4187828547
33	0.4138010541
34	0.4126714188
35	0.4120745848
36	0.4097796369
37	0.4062582425
38	0.403574326
39	0.4019636509
40	0.3997589939
41	0.3969601789
42	0.3942055551
43	0.3909901715
44	0.3863722563
45	0.3836942911
46	0.3798550602
47	0.376005024
48	0.3715301505
49	0.36930043
50	0.3657968659
51	0.3640915612
52	0.3612175427
53	0.3590582856
54	0.356561179
55	0.3540331278
56	0.351593189
57	0.3477674764
58	0.3455918783
59	0.3433871933
