iter	Passed	Remaining
0	18	1118
1	32	947
2	51	971
3	64	904
4	78	868
5	96	872
6	110	834
7	122	793
8	136	775
9	152	760
10	169	753
11	184	739
12	199	721
13	218	718
14	234	704
15	250	689
16	269	681
17	283	662
18	303	655
19	319	638
20	335	623
21	353	609
22	366	588
23	384	576
24	399	559
25	414	542
26	431	527
27	445	509
28	462	494
29	477	477
30	491	460
31	512	448
32	527	431
33	545	417
34	562	401
35	576	384
36	593	369
37	607	351
38	623	335
39	640	320
40	652	302
41	670	287
42	685	271
43	702	255
44	723	241
45	740	225
46	759	209
47	775	193
48	793	178
49	812	162
50	826	145
51	843	129
52	856	113
53	872	96
54	889	80
55	904	64
56	923	48
57	940	32
58	957	16
59	974	0
