iter	RMSE
0	0.5920788299
1	0.5917793877
2	0.5913772504
3	0.5910252222
4	0.5906512181
5	0.5903359607
6	0.5898323055
7	0.5893257661
8	0.5887300224
9	0.5882841997
10	0.5878022995
11	0.5873459019
12	0.5867451862
13	0.5863591874
14	0.585897216
15	0.5855802261
16	0.5852338647
17	0.58489482
18	0.5846286038
19	0.5842138128
20	0.5839007081
21	0.583448683
22	0.5830225844
23	0.5825762597
24	0.582186062
25	0.5817071484
26	0.5812681279
27	0.5808018364
28	0.5804806239
29	0.58019864
30	0.5799864898
31	0.5795103545
32	0.5789676436
33	0.5786143336
34	0.5782125559
35	0.5780720175
36	0.5774973269
37	0.5772687535
38	0.5769494195
39	0.5767156491
40	0.5763714993
41	0.5762348323
42	0.5756722171
43	0.5751132788
44	0.5749666469
45	0.5747703433
46	0.574471883
47	0.574190195
48	0.5739979635
49	0.5737835496
50	0.5737470849
51	0.5735492406
52	0.5731260468
53	0.5730174885
54	0.5729820394
55	0.5726333858
56	0.5722370928
57	0.5719144292
58	0.5714643095
59	0.5712132748
60	0.5709535354
61	0.5705814878
62	0.5705538034
63	0.5704151193
64	0.5700649942
65	0.5699878271
66	0.569500741
67	0.56940703
68	0.5693050098
69	0.5690637069
70	0.5686764239
71	0.5683337719
72	0.5680720865
73	0.5679772536
74	0.5677612446
75	0.5675678437
76	0.5672823262
77	0.5670784759
78	0.5669236697
79	0.5667678188
80	0.5664274175
81	0.5660070683
82	0.5658900692
83	0.5657419647
84	0.5655453459
85	0.5651933024
86	0.565174283
87	0.5649612023
88	0.5645746448
89	0.564088048
90	0.5638905124
91	0.5635114244
92	0.5633181007
93	0.5631358574
94	0.5630129218
95	0.5624036058
96	0.5623818567
97	0.5621649096
98	0.5621128434
99	0.5617581123
100	0.5612756363
101	0.5610121236
102	0.5609819301
103	0.5605692927
104	0.5602393551
105	0.5600249278
106	0.5596949572
107	0.5593288762
108	0.5592035544
109	0.5589189179
110	0.5584368222
111	0.5582501727
112	0.5581144053
113	0.558059962
114	0.5577951081
115	0.5573135091
116	0.5572859915
117	0.5566492938
118	0.5564660278
119	0.556282221
120	0.5559939387
121	0.5559554187
122	0.5558653074
123	0.5555202093
124	0.5553795466
125	0.5550229561
126	0.5548638368
127	0.5547296067
128	0.5546154506
129	0.5545437909
130	0.5545003104
131	0.5544996502
132	0.5544351225
133	0.5542983895
134	0.5541207653
135	0.5536908673
136	0.5536343821
137	0.5534255539
138	0.5534171912
139	0.5529058264
140	0.5529051979
141	0.552881093
142	0.5527713751
143	0.5525427568
144	0.552429562
145	0.5521575046
146	0.5518285212
147	0.5515850609
148	0.5514036237
149	0.5512063948
150	0.5508635757
151	0.5507839096
152	0.5507047866
153	0.5505635416
154	0.5503407101
155	0.5499733653
156	0.5496916063
157	0.5493874772
158	0.5492208011
159	0.54901644
160	0.5489376185
161	0.5488736638
162	0.5486970839
163	0.5484980841
164	0.5481094804
165	0.5481036118
166	0.5480271798
167	0.5479627997
168	0.5476563876
169	0.5476471713
170	0.5473817301
171	0.5473477591
172	0.5472275181
173	0.5468430463
174	0.5464313439
175	0.5460671721
176	0.545840227
177	0.5456628155
178	0.5455598485
179	0.5452724147
180	0.5451168077
181	0.5448810589
182	0.5446371762
183	0.5444293485
184	0.5442611494
185	0.5442351158
186	0.5439349687
187	0.5437143055
188	0.5436325399
189	0.543562994
190	0.5433911092
191	0.5431876492
192	0.5428958678
193	0.5426962442
194	0.5424063092
195	0.5418562527
196	0.5418562466
197	0.5417678644
198	0.5414522431
199	0.5412267944
200	0.5409643486
201	0.5407581573
202	0.5403981922
203	0.5403532351
204	0.5402645068
205	0.5401155893
206	0.5397850087
207	0.5397844585
208	0.5397301213
209	0.5396168519
210	0.5393276976
211	0.5391659415
212	0.5390083694
213	0.5388606358
214	0.5387576596
215	0.5384132049
216	0.5381832595
217	0.5380240994
218	0.537776278
219	0.5375450741
220	0.537367156
221	0.5372471636
222	0.5367801192
223	0.5366730152
224	0.5364513473
225	0.5363887363
226	0.5361585908
227	0.5359518734
228	0.5359360053
229	0.5359340396
230	0.5357402502
231	0.5355267637
232	0.535464927
233	0.5352885518
234	0.5349145402
235	0.5346424208
236	0.5344520833
237	0.5340258962
238	0.5337807576
239	0.5335277673
240	0.533381588
241	0.533194376
242	0.5330082363
243	0.5327231828
244	0.5323936774
245	0.5320861209
246	0.5319582598
247	0.5319577643
248	0.5316107897
249	0.5314634186
250	0.5313171356
251	0.5309974642
252	0.5309822642
253	0.5306248118
254	0.5305095576
255	0.5302679025
256	0.5300913194
257	0.5297875961
258	0.5296126724
259	0.5296124424
260	0.5293022956
261	0.5291800346
262	0.529078662
263	0.528929607
264	0.5288644324
265	0.5286830642
266	0.5286600251
267	0.528490957
268	0.5284774253
269	0.5282205386
270	0.5282040746
271	0.5280991365
272	0.527730156
273	0.527451359
274	0.5270984381
275	0.5267312973
276	0.526609724
277	0.5263921935
278	0.5261355674
279	0.5258492123
280	0.5257132908
281	0.5257034917
282	0.5255414172
283	0.5252763087
284	0.5249697375
285	0.5248489539
286	0.5243397334
287	0.5239814651
288	0.5239468058
289	0.5235289423
290	0.5234083883
291	0.5232533671
292	0.5231162758
293	0.5229683286
294	0.5227759586
295	0.522444816
296	0.5224262136
297	0.5220886363
298	0.5220596346
299	0.522042661
300	0.521805445
301	0.5215924601
302	0.521463853
303	0.5213637515
304	0.5212373087
305	0.5212089319
306	0.5210411076
307	0.520898226
308	0.5207423176
309	0.520732707
310	0.5205372256
311	0.52019942
312	0.5200375764
313	0.5199638851
314	0.5198946229
315	0.5196182199
316	0.5194517067
317	0.5193833933
318	0.5190639624
319	0.5188711722
320	0.5188163457
321	0.5186125607
322	0.518444344
323	0.5183761628
324	0.5181604071
325	0.5178972808
326	0.5178686518
327	0.5176931213
328	0.517623408
329	0.5172883381
330	0.5172797887
331	0.5171370251
332	0.5169112787
333	0.5168191545
334	0.5166071053
335	0.5165990547
336	0.5163704794
337	0.5163081059
338	0.5160619524
339	0.5160240015
340	0.5159742562
341	0.5157369741
342	0.5156641472
343	0.5155217983
344	0.5152792994
345	0.5150098044
346	0.5147904403
347	0.5147456856
348	0.5145718788
349	0.5144343635
350	0.5144166568
351	0.5141138098
352	0.5139291621
353	0.5138996455
354	0.5136606457
355	0.5135051539
356	0.5134403767
357	0.5133133136
358	0.5131597172
359	0.5129132746
360	0.512599935
361	0.5124417512
362	0.5123631285
363	0.5119774847
364	0.5117989357
365	0.5116488009
366	0.5114766443
367	0.5113301598
368	0.511264532
