iter	Passed	Remaining
0	36	64894
1	52	47130
2	87	52405
3	128	57499
4	167	60146
5	208	62351
6	245	62987
7	283	63589
8	323	64419
9	360	64531
10	399	64954
11	439	65444
12	476	65454
13	512	65414
14	552	65783
15	590	65808
16	628	65962
17	664	65795
18	689	64625
19	721	64206
20	760	64444
21	801	64791
22	838	64773
23	877	64946
24	916	65079
25	954	65100
26	990	65029
27	1028	65085
28	1068	65277
29	1107	65318
30	1142	65223
31	1182	65345
32	1220	65360
33	1257	65326
34	1294	65299
35	1330	65212
36	1363	64965
37	1403	65093
38	1442	65149
39	1482	65218
40	1520	65245
41	1562	65421
42	1602	65488
43	1640	65482
44	1680	65528
45	1716	65438
46	1753	65390
47	1794	65496
48	1835	65581
49	1877	65719
50	1889	64784
51	1924	64690
52	1962	64675
53	1992	64436
54	2005	63635
55	2038	63473
56	2075	63454
57	2113	63473
58	2149	63433
59	2186	63403
60	2223	63393
61	2260	63359
62	2269	62586
63	2303	62480
64	2342	62521
65	2361	62039
66	2392	61892
67	2412	61438
68	2445	61355
69	2480	61310
70	2517	61311
71	2553	61273
72	2588	61237
73	2627	61276
74	2664	61286
75	2702	61306
76	2749	61529
77	2789	61583
78	2830	61659
79	2868	61679
80	2904	61636
81	2945	61706
82	2983	61722
83	3021	61727
84	3057	61690
85	3103	61843
86	3114	61314
87	3148	61251
88	3187	61272
89	3250	61752
90	3306	62102
91	3345	62112
92	3380	62053
93	3418	62033
94	3455	62017
95	3496	62057
96	3511	61642
97	3544	61561
98	3570	61345
99	3605	61296
100	3642	61270
101	3683	61315
102	3695	60886
103	3729	60816
104	3768	60828
105	3807	60853
106	3844	60835
107	3885	60867
108	3923	60862
109	3966	60937
110	4005	60946
111	4044	60959
112	4085	60991
113	4122	60962
114	4157	60911
115	4198	60952
116	4209	60550
117	4243	60494
118	4281	60474
119	4317	60443
120	4354	60426
121	4393	60426
122	4428	60377
123	4464	60341
124	4500	60302
125	4540	60323
126	4575	60278
127	4614	60280
128	4653	60278
129	4693	60289
130	4720	60141
131	4728	59753
132	4739	59403
133	4768	59288
134	4807	59289
135	4848	59317
136	4886	59315
137	4925	59320
138	4936	58988
139	4968	58906
140	4980	58599
141	5005	58442
142	5038	58388
143	5075	58373
144	5113	58369
145	5151	58357
146	5194	58407
147	5233	58414
148	5269	58389
149	5308	58388
150	5344	58369
151	5382	58352
152	5401	58140
153	5434	58087
154	5469	58048
155	5509	58057
156	5545	58029
157	5586	58054
158	5624	58048
159	5666	58079
160	5702	58054
161	5739	58035
162	5776	58015
163	5813	57989
164	5848	57953
165	5865	57738
166	5901	57707
167	5939	57697
168	5979	57703
169	5995	57488
170	6028	57425
171	6061	57372
172	6102	57387
173	6139	57370
174	6180	57391
175	6221	57402
176	6259	57396
177	6297	57389
178	6336	57383
179	6376	57391
180	6417	57400
181	6462	57453
182	6505	57481
183	6547	57502
184	6592	57551
185	6606	57331
186	6640	57276
187	6676	57246
188	6715	57240
189	6734	57068
190	6769	57027
191	6811	57047
192	6849	57030
193	6889	57031
194	6929	57037
195	6970	57040
196	6986	56851
197	7020	56804
198	7055	56765
199	7098	56790
200	7136	56768
201	7170	56724
202	7211	56733
203	7241	56654
204	7277	56621
205	7315	56604
206	7351	56572
207	7362	56355
208	7374	56141
209	7407	56082
210	7441	56040
211	7479	56026
212	7518	56019
213	7556	56002
214	7592	55973
215	7628	55945
216	7662	55897
217	7703	55899
218	7739	55875
219	7776	55848
220	7819	55868
221	7859	55866
222	7895	55835
223	7935	55832
224	7974	55824
225	8014	55817
226	8055	55817
227	8094	55808
228	8105	55605
229	8115	55397
230	8147	55342
231	8187	55333
232	8228	55341
233	8265	55312
234	8302	55288
235	8342	55283
236	8379	55264
237	8420	55265
238	8460	55256
239	8497	55232
240	8536	55223
241	8579	55234
242	8621	55238
243	8654	55187
244	8690	55156
245	8725	55120
246	8765	55115
247	8776	54924
248	8811	54888
249	8854	54900
250	8893	54883
251	8932	54872
252	8953	54744
253	8986	54695
254	9020	54655
255	9059	54639
256	9095	54610
257	9133	54589
258	9172	54577
259	9186	54410
260	9220	54367
261	9260	54359
262	9297	54335
263	9332	54298
264	9371	54282
265	9409	54261
266	9446	54239
267	9486	54226
268	9517	54165
269	9552	54131
270	9589	54104
271	9628	54087
272	9668	54078
273	9704	54048
274	9743	54032
275	9792	54072
276	9833	54065
277	9870	54037
278	9912	54040
279	9951	54022
280	9991	54011
281	10007	53867
282	10040	53822
283	10079	53803
284	10125	53825
285	10163	53801
286	10202	53784
287	10238	53754
288	10277	53734
289	10319	53733
290	10356	53705
291	10397	53694
292	10433	53661
293	10471	53637
294	10515	53644
295	10553	53620
296	10579	53538
297	10619	53524
298	10657	53500
299	10677	53389
300	10713	53351
301	10750	53325
302	10787	53298
303	10823	53263
304	10864	53255
305	10902	53231
306	10944	53226
307	10983	53206
308	11023	53192
309	11052	53123
310	11086	53077
311	11126	53066
312	11168	53060
313	11213	53067
314	11256	53065
315	11295	53048
316	11338	53042
317	11376	53019
318	11414	52993
319	11454	52975
320	11492	52953
321	11530	52926
322	11570	52908
323	11609	52889
324	11648	52864
325	11685	52837
326	11722	52805
327	11759	52776
328	11799	52756
329	11838	52734
330	11873	52694
331	11911	52667
332	11947	52633
333	11985	52607
334	12022	52577
335	12065	52568
336	12101	52537
337	12142	52520
338	12186	52519
339	12222	52485
340	12259	52453
341	12301	52444
342	12342	52426
343	12377	52388
344	12412	52349
345	12449	52318
346	12491	52304
347	12554	52383
348	12633	52524
349	12693	52587
350	12740	52593
351	12800	52654
352	12842	52644
353	12882	52620
354	12927	52620
355	12972	52617
356	13012	52597
357	13052	52573
358	13094	52559
359	13148	52595
360	13197	52607
361	13236	52581
362	13275	52551
363	13317	52536
364	13354	52503
365	13389	52459
366	13428	52434
367	13468	52409
368	13508	52386
369	13546	52356
370	13582	52317
371	13621	52289
372	13658	52255
373	13696	52221
374	13735	52194
375	13773	52161
376	13813	52140
377	13855	52123
378	13892	52086
379	13929	52053
380	13966	52017
381	14003	51982
382	14042	51954
383	14079	51917
384	14114	51876
385	14151	51840
386	14193	51821
387	14232	51793
388	14270	51762
389	14307	51726
390	14343	51687
391	14380	51652
392	14417	51616
393	14455	51583
394	14490	51540
395	14529	51512
396	14568	51484
397	14604	51444
398	14638	51398
399	14675	51364
400	14711	51324
401	14749	51294
402	14787	51259
403	14825	51230
404	14864	51200
405	14901	51163
406	14938	51127
407	14977	51100
408	15015	51066
409	15054	51039
410	15093	51008
411	15130	50972
412	15169	50944
413	15209	50920
414	15245	50879
415	15282	50843
416	15320	50809
417	15353	50762
418	15394	50738
419	15429	50696
420	15464	50652
421	15507	50636
422	15543	50597
423	15580	50564
424	15617	50526
425	15656	50498
426	15697	50476
427	15738	50451
428	15776	50420
429	15820	50406
430	15857	50368
431	15898	50344
432	15934	50305
433	15973	50274
434	16012	50247
435	16051	50215
436	16086	50172
437	16127	50148
438	16165	50117
439	16201	50078
440	16241	50049
441	16278	50012
442	16319	49991
443	16355	49950
444	16394	49920
445	16432	49888
446	16471	49857
447	16513	49835
448	16555	49814
449	16593	49779
450	16635	49759
451	16672	49723
452	16711	49692
453	16753	49670
454	16795	49647
455	16834	49618
456	16869	49574
457	16907	49540
458	16951	49524
459	16988	49487
460	17024	49448
461	17063	49418
462	17102	49386
463	17139	49350
464	17178	49317
465	17212	49274
466	17256	49256
467	17300	49239
468	17339	49207
469	17378	49176
470	17414	49138
471	17452	49103
472	17489	49067
473	17526	49028
474	17565	48998
475	17601	48959
476	17639	48924
477	17676	48887
478	17711	48845
479	17753	48821
480	17790	48784
481	17834	48767
482	17876	48744
483	17914	48709
484	17951	48671
485	17992	48645
486	18030	48611
487	18068	48578
488	18105	48541
489	18146	48512
490	18179	48466
491	18221	48442
492	18261	48412
493	18299	48379
494	18334	48336
495	18369	48295
496	18406	48257
497	18444	48223
498	18481	48185
499	18520	48152
500	18556	48113
501	18596	48084
502	18633	48047
503	18672	48015
504	18711	47981
505	18747	47943
506	18786	47911
507	18825	47878
508	18863	47845
509	18902	47812
510	18940	47777
511	18982	47753
512	19023	47725
513	19061	47691
514	19098	47654
515	19134	47614
516	19171	47576
517	19208	47539
518	19243	47496
519	19281	47462
520	19320	47428
521	19359	47397
522	19400	47369
523	19439	47337
524	19476	47299
525	19514	47265
526	19559	47246
527	19596	47208
528	19636	47179
529	19675	47146
530	19712	47108
531	19754	47082
532	19793	47050
533	19830	47013
534	19866	46974
535	19903	46935
536	19941	46901
537	19979	46865
538	20019	46836
539	20060	46807
540	20100	46776
541	20139	46745
542	20181	46719
543	20219	46683
544	20265	46665
545	20305	46635
546	20344	46602
547	20384	46572
548	20420	46532
549	20456	46492
550	20494	46456
551	20531	46419
552	20568	46381
553	20604	46341
554	20640	46302
555	20684	46279
